Отзыв
"Приложение Сбера постоянно вылетает, особенно когда пытаюсь перевести деньги. Очень раздражает, что приходится перезапускать его по несколько раз. Уже думаю сменить банк."
"Удобный интерфейс, все понятно даже для новичка. Но иногда зависает, особенно при оплате через QR-код."
"Недавно обновили приложение, и теперь оно стало работать медленнее. Раньше все было быстрее, а теперь приходится ждать загрузки данных."
"Очень удобно, что можно управлять всеми счетами в одном месте. Но иногда приходят уведомления с задержкой, из-за этого пропускаю важные платежи."
"Постоянно просят ввести код из смс, даже если только что вводил его. Это очень утомляет."
"Нравится, что можно быстро оплатить коммуналку и мобильную связь. Но интерфейс иногда глючит, особенно на старых телефонах."
"Приложение стало хуже работать после последнего обновления. Теперь долго грузится баланс, а иногда вообще не показывает его."
"Удобно, что есть история операций, но иногда она не обновляется несколько дней. Приходится звонить в поддержку."
"Очень раздражает, что нельзя отключить уведомления о рекламных акциях. Они приходят по 5 раз в день."
"Нравится, что можно настроить автоплатежи. Но иногда они срабатывают дважды, и деньги списываются два раза."
"Приложение удобное, но часто требует повторной авторизации. Это занимает много времени."
"Недавно попробовал оплатить через NFC, но транзакция не прошла. Пришлось платить картой. Очень неудобно."
"Удобно, что можно быстро заблокировать карту, если она потерялась. Но интерфейс иногда тормозит, и это напрягает."
"Постоянно обновляют приложение, но после каждого обновления появляются новые баги. Лучше бы исправляли старые проблемы."
"Нравится, что можно открыть вклад прямо из приложения. Но иногда не получается выбрать нужный тариф, и приходится звонить в банк."
"Приложение часто зависает при попытке перевести деньги на карту другого банка. Очень неудобно, особенно когда нужно срочно."
"Удобно, что есть возможность посмотреть выписку по карте. Но иногда она не совпадает с реальными расходами."
"Недавно попробовал оплатить штраф через приложение, но оно выдало ошибку. Пришлось делать это через сайт."
"Нравится, что можно настроить кэшбэк, но иногда он не начисляется. Приходится писать в поддержку."
"Приложение удобное, но иногда не приходят пуш-уведомления о списании денег. Из-за этого пропускаю важные платежи."
"Очень неудобно, что нельзя изменить лимиты на карту через приложение. Приходится звонить в поддержку."
"Удобно, что можно быстро найти ближайший банкомат. Но иногда карта в приложении показывает неверное местоположение."
"Приложение стало работать медленнее после обновления. Раньше все было быстрее, а теперь приходится ждать."
"Нравится, что можно настроить шаблоны для платежей. Но иногда они пропадают после обновления приложения."
"Очень неудобно, что нельзя отключить проверку по отпечатку пальца. Иногда это занимает много времени."
"Удобно, что можно быстро перевести деньги на карту другого человека. Но иногда переводы задерживаются на несколько часов."
"Приложение часто требует повторной авторизации, даже если только что зашел. Это очень раздражает."
"Нравится, что можно посмотреть баланс без входа в приложение. Но иногда он не обновляется вовремя."
"Очень неудобно, что нельзя изменить пин-код карты через приложение. Приходится идти в отделение."
"Удобно, что можно быстро оплатить штрафы и налоги. Но иногда приложение зависает, и платеж не проходит."
